,ObservationDate,Country_Region,Active
269,2020-06-13,India,18284.0
270,2020-06-13,India,2032.0
271,2020-06-13,India,682.0
272,2020-06-13,India,7984.0
273,2020-06-13,India,4642.0
274,2020-06-13,India,756.0
275,2020-06-13,India,5587.0
276,2020-06-14,India,5.0
277,2020-06-14,India,2688.0
278,2020-06-14,India,83.0
279,2020-06-14,India,2126.0
280,2020-06-14,India,2295.0
281,2020-06-14,India,54.0
282,2020-06-14,India,875.0
283,2020-06-14,India,33.0
284,2020-06-14,India,22742.0
285,2020-06-14,India,453.0
286,2020-06-14,India,5707.0
287,2020-06-14,India,3868.0
288,2020-06-14,India,183.0
289,2020-06-14,India,2554.0
290,2020-06-14,India,887.0
291,2020-06-14,India,3095.0
292,2020-06-14,India,1342.0
293,2020-06-14,India,368.0
294,2020-06-14,India,2817.0
295,2020-06-14,India,51392.0
296,2020-06-14,India,358.0
297,2020-06-14,India,21.0
298,2020-06-14,India,106.0
299,2020-06-14,India,87.0
300,2020-06-14,India,1119.0
301,2020-06-14,India,92.0
302,2020-06-14,India,671.0
303,2020-06-14,India,2782.0
304,2020-06-14,India,59.0
305,2020-06-14,India,18881.0
306,2020-06-14,India,2203.0
307,2020-06-14,India,730.0
308,2020-06-14,India,7436.0
309,2020-06-14,India,4858.0
310,2020-06-14,India,685.0
311,2020-06-14,India,5693.0
312,2020-06-15,India,8.0
313,2020-06-15,India,3052.0
314,2020-06-15,India,84.0
315,2020-06-15,India,1984.0
316,2020-06-15,India,2201.0
317,2020-06-15,India,52.0
318,2020-06-15,India,858.0
319,2020-06-15,India,31.0
320,2020-06-15,India,25002.0
321,2020-06-15,India,507.0
322,2020-06-15,India,5886.0
323,2020-06-15,India,4057.0
324,2020-06-15,India,195.0
325,2020-06-15,India,2554.0
326,2020-06-15,India,850.0
327,2020-06-15,India,2989.0
328,2020-06-15,India,1348.0
329,2020-06-15,India,472.0
330,2020-06-15,India,2567.0
331,2020-06-15,India,50567.0
332,2020-06-15,India,339.0
333,2020-06-15,India,18.0
334,2020-06-15,India,116.0
335,2020-06-15,India,85.0
336,2020-06-15,India,1190.0
337,2020-06-15,India,102.0
338,2020-06-15,India,753.0
339,2020-06-15,India,2895.0
340,2020-06-15,India,64.0
341,2020-06-15,India,20681.0
342,2020-06-15,India,2240.0
343,2020-06-15,India,652.0
344,2020-06-15,India,7684.0
345,2020-06-15,India,4948.0
346,2020-06-15,India,632.0
347,2020-06-15,India,5515.0
348,2020-06-16,India,11.0
349,2020-06-16,India,3244.0
350,2020-06-16,India,88.0
351,2020-06-16,India,2145.0
352,2020-06-16,India,2093.0
353,2020-06-16,India,50.0
354,2020-06-16,India,736.0
355,2020-06-16,India,36.0
356,2020-06-16,India,26351.0
357,2020-06-16,India,544.0
358,2020-06-16,India,5962.0
359,2020-06-16,India,4406.0
360,2020-06-16,India,180.0
361,2020-06-16,India,2454.0
362,2020-06-16,India,709.0
363,2020-06-16,India,2980.0
364,2020-06-16,India,1366.0
365,2020-06-16,India,563.0
366,2020-06-16,India,2455.0
367,2020-06-16,India,50057.0
368,2020-06-16,India,341.0
369,2020-06-16,India,18.0
370,2020-06-16,India,120.0
371,2020-06-16,India,87.0
372,2020-06-16,India,1178.0
373,2020-06-16,India,111.0
374,2020-06-16,India,838.0
375,2020-06-16,India,3059.0
376,2020-06-16,India,66.0
377,2020-06-16,India,20709.0
378,2020-06-16,India,2188.0
379,2020-06-16,India,658.0
380,2020-06-16,India,8273.0
381,2020-06-16,India,5064.0
382,2020-06-16,India,701.0
383,2020-06-16,India,5386.0
384,2020-06-17,India,11.0
385,2020-06-17,India,3340.0
386,2020-06-17,India,92.0
387,2020-06-17,India,1955.0
388,2020-06-17,India,1972.0
389,2020-06-17,India,59.0
390,2020-06-17,India,674.0
391,2020-06-17,India,45.0
392,2020-06-17,India,27741.0
393,2020-06-17,India,560.0
394,2020-06-17,India,6103.0
395,2020-06-17,India,4750.0
396,2020-06-17,India,189.0
397,2020-06-17,India,2427.0
398,2020-06-17,India,734.0
399,2020-06-17,India,2828.0
400,2020-06-17,India,1351.0
401,2020-06-17,India,594.0
402,2020-06-17,India,2374.0
403,2020-06-17,India,51935.0
404,2020-06-17,India,360.0
405,2020-06-17,India,13.0
406,2020-06-17,India,120.0
407,2020-06-17,India,90.0
408,2020-06-17,India,1280.0
409,2020-06-17,India,129.0
410,2020-06-17,India,881.0
411,2020-06-17,India,2762.0
412,2020-06-17,India,66.0
413,2020-06-17,India,21993.0
414,2020-06-17,India,2412.0
415,2020-06-17,India,578.0
416,2020-06-17,India,8703.0
417,2020-06-17,India,5259.0
418,2020-06-17,India,743.0
419,2020-06-17,India,5261.0
420,2020-06-18,India,11.0
