,ObservationDate,Country_Region,Deaths
410,17-06-2020,India,78
411,17-06-2020,India,313
412,17-06-2020,India,0
413,17-06-2020,India,576
414,17-06-2020,India,192
415,17-06-2020,India,1
416,17-06-2020,India,0
417,17-06-2020,India,435
418,17-06-2020,India,26
419,17-06-2020,India,506
420,18-06-2020,India,0
421,18-06-2020,India,92
422,18-06-2020,India,0
423,18-06-2020,India,9
424,18-06-2020,India,44
425,18-06-2020,India,6
426,18-06-2020,India,10
427,18-06-2020,India,0
428,18-06-2020,India,1969
429,18-06-2020,India,0
430,18-06-2020,India,1591
431,18-06-2020,India,134
432,18-06-2020,India,8
433,18-06-2020,India,71
434,18-06-2020,India,11
435,18-06-2020,India,114
436,18-06-2020,India,21
437,18-06-2020,India,1
438,18-06-2020,India,486
439,18-06-2020,India,5751
440,18-06-2020,India,0
441,18-06-2020,India,1
442,18-06-2020,India,0
443,18-06-2020,India,0
444,18-06-2020,India,11
445,18-06-2020,India,7
446,18-06-2020,India,83
447,18-06-2020,India,323
448,18-06-2020,India,0
449,18-06-2020,India,625
450,18-06-2020,India,195
451,18-06-2020,India,1
452,18-06-2020,India,0
453,18-06-2020,India,465
454,18-06-2020,India,26
455,18-06-2020,India,518
456,19-06-2020,India,0
457,19-06-2020,India,96
458,19-06-2020,India,0
459,19-06-2020,India,9
460,19-06-2020,India,50
461,19-06-2020,India,6
462,19-06-2020,India,10
463,19-06-2020,India,0
464,19-06-2020,India,2035
465,19-06-2020,India,0
466,19-06-2020,India,1618
467,19-06-2020,India,144
468,19-06-2020,India,8
469,19-06-2020,India,75
470,19-06-2020,India,11
471,19-06-2020,India,124
472,19-06-2020,India,21
473,19-06-2020,India,1
474,19-06-2020,India,495
475,19-06-2020,India,5893
476,19-06-2020,India,0
477,19-06-2020,India,1
478,19-06-2020,India,0
479,19-06-2020,India,0
480,19-06-2020,India,11
481,19-06-2020,India,7
482,19-06-2020,India,92
483,19-06-2020,India,333
484,19-06-2020,India,0
485,19-06-2020,India,666
486,19-06-2020,India,198
487,19-06-2020,India,1
488,19-06-2020,India,0
489,19-06-2020,India,488
490,19-06-2020,India,26
491,19-06-2020,India,529
492,20-06-2020,India,0
493,20-06-2020,India,101
494,20-06-2020,India,0
495,20-06-2020,India,9
496,20-06-2020,India,52
497,20-06-2020,India,6
498,20-06-2020,India,11
499,20-06-2020,India,0
500,20-06-2020,India,2112
501,20-06-2020,India,0
502,20-06-2020,India,1638
503,20-06-2020,India,149
504,20-06-2020,India,8
505,20-06-2020,India,81
506,20-06-2020,India,11
507,20-06-2020,India,132
508,20-06-2020,India,21
509,20-06-2020,India,1
510,20-06-2020,India,501
511,20-06-2020,India,5984
512,20-06-2020,India,0
513,20-06-2020,India,1
514,20-06-2020,India,0
515,20-06-2020,India,0
516,20-06-2020,India,12
517,20-06-2020,India,7
518,20-06-2020,India,98
519,20-06-2020,India,337
520,20-06-2020,India,0
521,20-06-2020,India,704
522,20-06-2020,India,203
523,20-06-2020,India,1
524,20-06-2020,India,0
525,20-06-2020,India,507
526,20-06-2020,India,27
527,20-06-2020,India,540
528,21-06-2020,India,0
529,21-06-2020,India,106
530,21-06-2020,India,0
531,21-06-2020,India,9
532,21-06-2020,India,53
533,21-06-2020,India,6
534,21-06-2020,India,11
535,21-06-2020,India,0
536,21-06-2020,India,2175
537,21-06-2020,India,0
538,21-06-2020,India,1663
539,21-06-2020,India,160
540,21-06-2020,India,8
541,21-06-2020,India,82
542,21-06-2020,India,11
543,21-06-2020,India,137
544,21-06-2020,India,21
545,21-06-2020,India,1
546,21-06-2020,India,515
547,21-06-2020,India,6170
548,21-06-2020,India,0
549,21-06-2020,India,1
550,21-06-2020,India,0
551,21-06-2020,India,0
552,21-06-2020,India,14
553,21-06-2020,India,8
554,21-06-2020,India,99
555,21-06-2020,India,349
556,21-06-2020,India,0
557,21-06-2020,India,757
558,21-06-2020,India,210
559,21-06-2020,India,1
560,21-06-2020,India,0
561,21-06-2020,India,550
562,21-06-2020,India,27
563,21-06-2020,India,555
564,22-06-2020,India,0
565,22-06-2020,India,111
566,22-06-2020,India,0
567,22-06-2020,India,9
568,22-06-2020,India,55
569,22-06-2020,India,6
570,22-06-2020,India,12
571,22-06-2020,India,0
572,22-06-2020,India,2233
573,22-06-2020,India,1
574,22-06-2020,India,1684
575,22-06-2020,India,169
576,22-06-2020,India,8
577,22-06-2020,India,85
578,22-06-2020,India,11
579,22-06-2020,India,142
580,22-06-2020,India,21
581,22-06-2020,India,1
582,22-06-2020,India,521
583,22-06-2020,India,6283
584,22-06-2020,India,0
585,22-06-2020,India,1
586,22-06-2020,India,0
587,22-06-2020,India,0
588,22-06-2020,India,15
589,22-06-2020,India,8
590,22-06-2020,India,101
591,22-06-2020,India,356
592,22-06-2020,India,0
593,22-06-2020,India,794
594,22-06-2020,India,217
595,22-06-2020,India,1
596,22-06-2020,India,0
597,22-06-2020,India,569
598,22-06-2020,India,28
599,22-06-2020,India,569
600,23-06-2020,India,0
601,23-06-2020,India,119
602,23-06-2020,India,0
603,23-06-2020,India,9
604,23-06-2020,India,56
605,23-06-2020,India,6
606,23-06-2020,India,12
607,23-06-2020,India,0
608,23-06-2020,India,2301
609,23-06-2020,India,1
610,23-06-2020,India,1710
611,23-06-2020,India,178
612,23-06-2020,India,8
613,23-06-2020,India,87
614,23-06-2020,India,11
615,23-06-2020,India,150
616,23-06-2020,India,22
617,23-06-2020,India,1
618,23-06-2020,India,525
619,23-06-2020,India,6531
620,23-06-2020,India,0
621,23-06-2020,India,1
622,23-06-2020,India,0
623,23-06-2020,India,0
624,23-06-2020,India,17
625,23-06-2020,India,9
626,23-06-2020,India,105
627,23-06-2020,India,365
628,23-06-2020,India,0
629,23-06-2020,India,833
630,23-06-2020,India,220
631,23-06-2020,India,1
632,23-06-2020,India,0
633,23-06-2020,India,588
634,23-06-2020,India,30
635,23-06-2020,India,580
636,24-06-2020,India,0
637,24-06-2020,India,124
638,24-06-2020,India,0
639,24-06-2020,India,9
640,24-06-2020,India,57
641,24-06-2020,India,6
642,24-06-2020,India,12
643,24-06-2020,India,0
644,24-06-2020,India,2365
645,24-06-2020,India,2
646,24-06-2020,India,1735
647,24-06-2020,India,188
648,24-06-2020,India,8
649,24-06-2020,India,88
650,24-06-2020,India,11
